"Wavelength (nm),Absorbance (AU),Std.Dev."
"311,-0.0295114517211914,0.000363738935579231"
"312,-0.0288882255554199,0.000200348793777368"
"313,-0.0286965370178223,0.000293898844531207"
"314,-0.0294833183288574,0.000376535934633042"
"315,-0.0286998748779297,0.000434247617709979"
"316,-0.0285506248474121,0.000424898030450523"
"317,-0.0280032157897949,0.000359503595393343"
"318,-0.027712345123291,0.000282010380485953"
"319,-0.0272846221923828,0.000270366248209524"
"320,-0.0273933410644531,0.000368083695283708"
"321,-0.0265898704528809,0.000263131170058907"
"322,-0.0263009071350098,0.000379959933388545"
"323,-0.0261139869689942,0.000456330918213888"
"324,-0.0257415771484375,0.000390890150679001"
"325,-0.0255231857299805,0.000418957278829908"
"326,-0.0251307487487793,0.000451892715585981"
"327,-0.0243463516235352,0.000537385111169765"
"328,-0.0243363380432129,0.000391001817629052"
"329,-0.0242695808410645,0.0004062697361086"
"330,-0.0242013931274414,0.000499739901498001"
"331,-0.024531364440918,0.000380868437854826"
"332,-0.0235409736633301,0.000478375813436776"
"333,-0.0235872268676758,0.000544473706465509"
"334,-0.0235652923583985,0.00055342041867954"
"335,-0.0223360061645508,0.000385690229876232"
"336,-0.0227618217468262,0.000494706084772235"
"337,-0.0231213569641113,0.000349310476782269"
"338,-0.0221304893493653,0.000404978222354374"
"339,-0.0219273567199707,0.000444088764924809"
"340,-0.020571231842041,0.000483384011756581"
"341,-0.0213212966918946,0.000362305880876206"
"342,-0.0210466384887696,0.000419313147595854"
"343,-0.0204606056213379,0.000545848389482658"
"344,-0.0199151039123535,0.000424581118102311"
"345,-0.0202360153198242,0.00052204240095691"
"346,-0.019801139831543,0.000618487021373998"
"347,-0.020071029663086,0.000610661427996013"
"348,-0.0196385383605957,0.00047928752726834"
"349,-0.0180554389953613,0.000461357631393827"
"350,-0.0191779136657715,0.000389753053957146"
"351,-0.0189437866210938,0.000406833484127652"
"352,-0.0178003311157227,0.000336624069078984"
"353,-0.0181884765625,0.000428809982189832"
"354,-0.016653060913086,0.000410164225591591"
"355,-0.0181021690368653,0.000470840899398677"
"356,-0.0192809104919434,0.000669867791420009"
"357,-0.0197587013244629,0.000553749002429933"
"358,-0.0170383453369141,0.000470268786634947"
"359,-0.00893831253051758,0.000749313750822249"
"360,0.00108718872070313,0.000577482676180406"
"361,0.0108981132507324,0.000605636504221976"
"362,0.0114150047302246,0.000601767737966991"
"363,-0.000170707702636719,0.000601767737966991"
"364,-0.0123476982116699,0.000584134666215545"
"365,-0.0189614295959473,0.0005827628999856"
"366,-0.0228071212768555,0.000582125802488585"
"367,-0.02423095703125,0.000458890798850551"
"368,-0.0212173461914063,0.00049591064453125"
"369,-0.0179033279418946,0.000331302669154301"
"370,-0.0153284072875977,0.00034558293979768"
"371,-0.0140247344970703,0.000413758391702358"
"372,-0.0133771896362305,0.000415127758758595"
"373,-0.012664794921875,0.000547033440254009"
"374,-0.0137062072753906,0.000722016489521544"
"375,-0.0129761695861817,0.00050479558988162"
"376,-0.0134143829345703,0.000418392476318157"
"377,-0.0132918357849121,0.00047549248879781"
"378,-0.0120429992675781,0.000548587421326679"
"379,-0.0127315521240235,0.000578678384973189"
"380,-0.0122594833374024,0.000372475448569768"
"381,-0.0121850967407227,0.000446319580078125"
"382,-0.0128655433654785,0.000498135783169722"
"383,-0.0114121437072754,0.000345688194555945"
"384,-0.0118684768676758,0.000572319019319916"
"385,-0.011810302734375,0.000597058010036967"
"386,-0.0118422508239746,0.000717933727713606"
"387,-0.0119438171386719,0.000528676305305281"
"388,-0.0122580528259278,0.000554602409102224"
"389,-0.0111770629882813,0.000535703574954119"
"390,-0.0110368728637696,0.000459643319589271"
"391,-0.0107769966125488,0.000599599547725006"
"392,-0.0114340782165528,0.000647678979347123"
"393,-0.0115323066711426,0.000631018269461196"
"394,-0.0108828544616699,0.000527022206328954"
"395,-0.0106873512268067,0.000548733295787095"
"396,-0.0112524032592774,0.000719371398758098"
"397,-0.00986671447753906,0.000458422822043646"
"398,-0.0107345581054688,0.000386538212350677"
